journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Borderline personality disorder and emotion dysregulation,40,45.35,16.5,1814,2005,2022,2.5
"Culture, medicine and psychiatry",40,18.12,10.5,725,1990,2021,7.5
World journal of psychiatry,40,39.6,15.5,1584,2012,2022,0.0
JMIR formative research,39,40.64,14.0,1585,2011,2022,0.0
Journal of anxiety disorders,39,56.72,24.0,2212,1999,2022,0.0
Irish medical journal,39,6.38,4.0,249,1991,2022,17.95
Praxis der Kinderpsychologie und Kinderpsychiatrie,39,4.64,3.0,181,1991,2022,23.08
Psychology and psychotherapy,39,18.67,13.0,728,2004,2022,0.0
Revista colombiana de psiquiatria,39,5.67,3.0,221,2013,2021,15.38
Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,39,1.38,1.0,54,1997,2022,43.59
PeerJ,39,23.0,18.0,897,2002,2022,0.0
AIDS and behavior,39,33.85,29.0,1320,2003,2022,0.0
"Journal of neurology, neurosurgery, and psychiatry",38,91.79,49.5,3488,1990,2022,2.63
Journal of injury & violence research,38,9.55,5.0,363,2009,2021,18.42
Bulletin of the Menninger Clinic,38,14.13,7.5,537,1989,2021,5.26
"Children (Basel, Switzerland)",38,56.11,12.5,2132,1997,2022,2.63
Australian family physician,38,6.11,5.0,232,1989,2017,13.16
American journal of community psychology,38,51.63,31.5,1962,1993,2022,0.0
Journal of trauma & dissociation : the official journal of the International Society for the Study of Dissociation (ISSD),37,21.7,13.0,803,2001,2022,2.7
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",37,32.7,7.0,1210,2003,2022,10.81
Psychiatric genetics,37,22.89,14.0,847,1999,2022,2.7
BMC medicine,37,79.3,42.0,2934,2000,2022,0.0
Journal of health psychology,37,15.76,11.0,583,1997,2022,0.0
Medical care,37,25.95,13.0,960,1993,2022,0.0
"Morbidity and mortality weekly report. Surveillance summaries (Washington, D.C. : 2002)",37,232.86,57.0,8616,1992,2021,0.0
"Journal of neural transmission (Vienna, Austria : 1996)",37,23.54,21.0,871,1996,2021,0.0
Journal of the Formosan Medical Association = Taiwan yi zhi,37,19.76,11.0,731,1994,2022,0.0
Evidence-based mental health,37,38.3,21.0,1417,1998,2022,8.11
Noro psikiyatri arsivi,36,19.67,6.5,708,1993,2022,2.78
